04
TIME     AIRT    SOLAR     WIND    HUMID    CLOUD     LWIR   WINDIR RAINRATE
0554   4.200   3.200     2.054  59.282   0.000    0.000  163.656
0559   4.300   1.600     2.075  59.464   0.000    0.000  164.016
0604   4.300   0.000     2.097  59.645   0.000    0.000  165.384
0609   4.300   8.000     2.115  59.827   0.000    0.000  166.392
0610   10.800  0.000     2.127  55.183   5.000    0.000  155.808
0615   10.900  1.600     2.141  54.775   6.000    0.000  150.912
0620   10.700  3.200     2.169  54.367   6.000    0.000  151.920
0625   10.600  4.800     2.196  53.958   6.000    0.000  180.216
0630   10.700  8.000     2.223  53.550   7.000    0.000  169.704
0635   10.400  16.000    2.246  53.142    7.000    0.000  162.720
0640   10.400  19.200    2.261  52.733    7.000    0.000  171.936
0645   10.400  27.200    2.274  52.325    8.000    0.000  159.408
0650   10.500  40.000    2.283  51.917    8.000    0.000  149.184
0655   11.700  92.800    2.289  51.508    8.000    0.000  137.088
0700   10.800  75.200    2.297  51.100    7.000    0.000  163.512
0705   10.500  27.200    2.303  50.808    7.000    0.000  182.232
0710   10.400  20.800    2.312  50.517    7.000    0.000  147.456
0715   10.000  11.200    2.324  50.225    6.000    0.000  161.280
0720   9.800   12.800    2.339  49.933    6.000    0.000  142.056
0725   9.800   11.200    2.358  49.642    6.000    0.000  170.928
0730   9.900   9.600     2.376  49.350   5.000    0.000  157.248
0735   9.800   8.000     2.399  49.058   5.000    0.000  214.848
0740   10.000  8.000     2.421  48.767   4.000    0.000  148.464
0745   10.200  22.400    2.447  48.475    4.000    0.000  166.320
0750   10.500  56.000    2.472  48.183    4.000    0.000  152.496
0755   10.800  128.000   2.502  47.892    4.000    0.000  168.480
0800   11.500  225.600   2.535  47.600    4.000    0.000  156.528
0805   12.000  244.800   2.559  47.542    3.000    0.000  153.792
0810   11.700  208.000   2.582  47.483    3.000    0.000  144.432
0815   12.000  235.200   2.600  47.425    3.000    0.000  176.544
0820   11.900  246.400   2.613  47.367    3.000    0.000  172.368
0825   11.900  248.000   2.639  47.308    3.000    0.000  182.232
0830   11.800  233.600   2.658  47.250    3.000    0.000  147.528
0835   11.900  228.800   2.675  47.192    3.000    0.000  151.776
0840   12.200  283.200   2.688  47.133    2.000    0.000  237.168
0845   12.300  281.600   2.699  47.075    2.000    0.000  173.448
0850   12.100  294.400   2.699  47.017    2.000    0.000  159.480
0855   12.100  307.200   2.700  46.958    2.000    0.000  140.472
0900   12.300  320.000   2.705  46.900    2.000    0.000  148.464
0905   12.100  318.400   2.703  46.842    2.000    0.000  164.160
0910   12.100  331.200   2.699  46.783    2.000    0.000  160.416
0915   12.100  344.000   2.691  46.725    2.000    0.000  189.936
0920   12.100  352.000   2.672  46.667    2.000    0.000  159.048
0925   12.100  360.000   2.652  46.608    1.000    0.000  132.552
0930   12.400  369.600   2.637  46.550    1.000    0.000  125.352
0935   12.300  384.000   2.624  46.492    1.000    0.000  172.008
0940   12.400  408.000   2.610  46.433    1.000    0.000  160.344
0945   12.300  416.000   2.600  46.375    1.000    0.000  163.368
0950   12.400  420.800   2.591  46.317    1.000    0.000  169.992
0955   12.200  433.600   2.577  46.258    1.000    0.000  169.272
1000   12.300  443.200   2.570  46.200    1.000    0.000  167.328
1005   12.800  451.200   2.570  46.258    1.000    0.000  159.984
1010   12.600  462.400   2.573  46.317    1.000    0.000  124.344
1015   12.800  472.000   2.577  46.375    1.000    0.000  170.208
1020   12.400  480.000   2.582  46.433    1.000    0.000  154.944
1025   12.600  484.800   2.585  46.492    0.000    0.000  168.264
1030   12.400  499.200   2.591  46.550    0.000    0.000  169.920
1035   12.600  505.600   2.592  46.608    0.000    0.000  175.824
1040   12.600  515.200   2.597  46.667    0.000    0.000  174.888
1045   13.200  520.000   2.600  46.725    0.000    0.000  186.840
1050   12.700  526.400   2.609  46.783    0.000    0.000  192.816
1055   13.200  537.600   2.619  46.842    0.000    0.000  163.440
1100   12.400  552.000   2.628  46.900    0.000    0.000  158.688
1105   13.100  560.000   2.639  46.842    0.000    0.000  171.936
1110   13.100  566.400   2.649  46.783    0.000    0.000  198.792
1115   13.600  568.000   2.661  46.725    0.000    0.000  192.672
1120   13.400  577.600   2.664  46.667    0.000    0.000  159.552
1125   13.800  587.200   2.670  46.608    0.000    0.000  211.824
1130   13.200  592.000   2.681  46.550    0.000    0.000  170.352
1135   12.700  598.400   2.690  46.492    0.000    0.000  188.856
1140   13.400  609.600   2.697  46.433    0.000    0.000  203.760
1145   13.300  616.000   2.699  46.375    0.000    0.000  186.912
1150   13.500  617.600   2.694  46.317    0.000    0.000  155.232
1155   13.100  625.600   2.688  46.258    0.000    0.000  207.144
1200   13.500  632.000   2.672  46.200    0.000    0.000  201.384
1205   13.000  638.400   2.661  46.025    0.000    0.000  176.976
1210   13.700  641.600   2.657  45.850    0.000    0.000  189.216
1215   13.200  648.000   2.661  45.675    0.000    0.000  176.472
1220   13.300  656.000   2.663  45.500    0.000    0.000  152.496
1225   14.400  659.200   2.660  45.325    0.000    0.000  210.888
1230   13.500  664.000   2.655  45.150    0.000    0.000  190.584
1235   13.600  667.200   2.655  44.975    0.000    0.000  188.280
1240   13.900  672.000   2.655  44.800    0.000    0.000  219.600
1245   14.100  675.200   2.660  44.625    0.000    0.000  192.960
1250   13.800  678.400   2.663  44.450    0.000    0.000  153.576
1255   14.200  680.000   2.670  44.275    0.000    0.000  157.536
1300   14.200  680.000   2.676  44.100    0.000    0.000  161.136
1305   13.900  684.800   2.672  44.217    0.000    0.000  148.248
1310   13.800  689.600   2.672  44.333    0.000    0.000  184.176
1315   13.700  694.400   2.667  44.450    0.000    0.000  167.544
1320   13.800  697.600   2.669  44.567    0.000    0.000  172.584
1325   14.200  699.200   2.666  44.683    0.000    0.000  163.656
1330   13.900  700.800   2.661  44.800    0.000    0.000  189.936
1335   14.300  704.000   2.654  44.917    0.000    0.000  168.408
1340   14.400  704.000   2.646  45.033    0.000    0.000  163.728
1345   15.100  704.000   2.637  45.150    0.000    0.000  198.936
1350   14.800  704.000   2.631  45.267    0.000    0.000  170.928
1355   14.500  704.000   2.628  45.383    0.000    0.000  167.544
1400   14.700  704.000   2.627  45.500    0.000    0.000  171.072
1405   15.100  704.000   2.621  46.083    0.000    0.000  186.192
1410   14.800  704.000   2.618  46.667    0.000    0.000  153.792
1415   15.300  704.000   2.606  47.250    0.000    0.000  198.288
1420   14.900  704.000   2.597  47.833    0.000    0.000  147.168
1425   14.900  702.400   2.589  48.417    0.000    0.000  143.136
1430   15.900  699.200   2.579  49.000    0.000    0.000  139.464
1435   15.800  692.800   2.565  49.583    0.000    0.000  151.920
1440   15.600  688.000   2.553  50.167    0.000    0.000  201.744
1445   15.500  688.000   2.538  50.750    0.000    0.000  166.104
1450   15.400  688.000   2.516  51.333    0.000    0.000  189.072
1455   15.000  681.600   2.495  51.917    0.000    0.000  191.520
1500   15.300  680.000   2.471  52.500    0.000    0.000  196.344
1505   15.600  680.000   2.450  51.683    0.000    0.000  157.032
1510   15.800  673.600   2.435  50.867    0.000    0.000  227.088
1515   14.900  670.400   2.424  50.050    0.000    0.000  163.800
1520   15.300  665.600   2.412  49.233    0.000    0.000  188.784
1525   15.300  662.400   2.405  48.417    0.000    0.000  144.936
1530   15.700  656.000   2.399  47.600    0.000    0.000  166.032
1535   15.200  651.200   2.387  46.783    0.000    0.000  175.896
1540   15.300  646.400   2.372  45.967    0.000    0.000  162.648
1545   15.800  641.600   2.358  45.150    0.000    0.000  199.008
1550   15.700  638.400   2.346  44.333    0.000    0.000  190.584
1555   15.900  630.400   2.333  43.517    0.000    0.000  190.368
1600   15.700  624.000   2.318  42.700    0.000    0.000  164.880
1605   16.000  617.600   2.301  41.300    0.000    0.000  186.984
1610   15.800  612.800   2.280  39.900    0.000    0.000  176.328
1615   16.100  606.400   2.255  38.500    0.000    0.000  176.472
1620   16.200  600.000   2.229  37.100    0.000    0.000  156.672
1625   16.200  595.200   2.204  35.700    0.000    0.000  187.560
1630   16.300  590.400   2.184  34.300    0.000    0.000  218.592
1635   16.700  571.200   2.162  32.900    0.000    0.000  154.944
1640   16.400  566.400   2.141  31.500    0.000    0.000  158.256
1645   16.400  560.000   2.115  30.100    0.000    0.000  151.488
1650   16.600  553.600   2.093  28.700    0.000    0.000  192.240
1655   16.800  547.200   2.069  27.300    0.000    0.000  220.176
1700   17.000  539.200   2.048  25.900    0.000    0.000  156.744
1705   16.400  529.600   2.027  25.958    0.000    0.000  193.032
1710   16.000  520.000   2.012  26.017    0.000    0.000  183.456
1715   16.000  512.000   1.992  26.075    0.000    0.000  163.080
1720   16.600  500.800   1.967  26.133    0.000    0.000  164.232
1725   16.300  494.400   1.941  26.192    0.000    0.000  177.480
1730   16.400  483.200   1.919  26.250    0.000    0.000  173.592
1735   16.200  475.200   1.890  26.308    0.000    0.000  215.928
1740   16.700  465.600   1.862  26.367    0.000    0.000  139.176
1745   16.700  454.400   1.829  26.425    0.000    0.000  184.608
1750   16.800  441.600   1.793  26.483    0.000    0.000  180.360
1755   16.600  433.600   1.754  26.542    0.000    0.000  194.112
1800   16.400  424.000   1.715  26.600    0.000    0.000  196.344
1805   16.200  412.800   1.670  26.892    0.000    0.000  194.256
1810   17.100  401.600   1.631  27.183    0.000    0.000  179.784
1815   16.300  390.400   1.595  27.475    0.000    0.000  176.976
1820   16.300  379.200   1.559  27.767    0.000    0.000  168.840
1825   16.700  368.000   1.523  28.058    0.000    0.000  204.768
1830   16.400  355.200   1.485  28.350    0.000    0.000  201.168
1835   16.100  347.200   1.445  28.642    0.000    0.000  223.200
1840   15.900  334.400   1.401  28.933    0.000    0.000  185.760
1845   15.800  320.000   1.358  29.225    0.000    0.000  201.528
1850   15.700  308.800   1.316  29.517    0.000    0.000  178.632
1855   15.900  299.200   1.274  29.808    0.000    0.000  190.152
1900   15.900  286.400   1.232  30.100    0.000    0.000  209.448
1905   15.900  275.200   1.191  30.100    0.000    0.000  164.952
1910   15.900  262.400   1.149  30.100    0.000    0.000  178.200
1915   15.700  252.800   1.107  30.100    0.000    0.000  212.472
1920   15.300  240.000   1.067  30.100    0.000    0.000  199.440
1925   15.600  228.800   1.029  30.100    0.000    0.000  181.080
1930   15.400  217.600   0.995  30.100    0.000    0.000  183.960
1935   15.300  208.000   0.966  30.100    0.000    0.000  140.904
1940   15.700  192.000   0.938  30.100    0.000    0.000  181.224
1945   15.400  184.000   0.908  30.100    0.000    0.000  167.544
1950   15.400  172.800   0.879  30.100    0.000    0.000  204.912
1955   15.000  161.600   0.851  30.100    0.000    0.000  186.768
2000   14.400  147.200   0.821  30.100    0.000    0.000  198.648
2005   14.000  140.800   0.794  30.917    0.000    0.000  216.360
2010   13.900  134.400   0.765  31.733    0.000    0.000  141.912
2015   13.800  123.200   0.735  32.550    0.000    0.000  186.768
2020   13.600  115.200   0.707  33.367    0.000    0.000  207.288
2025   13.500  100.800   0.675  34.183    1.000    0.000  236.736
2030   13.400  96.000    0.644  35.000    1.000    0.000  174.024
2035   13.400  83.200    0.611  35.817    1.000    0.000  190.728
2040   13.300  67.200    0.579  36.633    1.000    0.000  191.016
2045   12.900  62.400    0.548  37.450    1.000    0.000  176.472
2050   12.700  52.800    0.519  38.267    1.000    0.000  180.432
2055   12.100  43.200    0.491  39.083    1.000    0.000  185.184
2100   11.800  36.800    0.462  39.900    1.000    0.000  186.768
2105   11.100  28.800    0.438  40.081    1.000    0.000  183.816
2110   10.400  19.200    0.416  40.263    1.000    0.000  186.768
2115   9.200   16.000    0.395  40.445    1.000    0.000  166.464
2120   8.400   14.400    0.380  40.626    1.000    0.000  178.056
2125   8.000   12.800    0.365  40.807    1.000    0.000  182.880
2130   7.500   8.000     0.353  40.989   1.000    0.000  174.024
2135   7.000   8.000     0.344  41.171   1.000    0.000  167.832
2140   6.800   8.000     0.336  41.352   1.000    0.000  167.328
2145   6.600   4.800     0.329  41.533   1.000    0.000  161.352
2150   6.400   4.800     0.323  41.715   1.000    0.000  134.568
2155   6.300   6.400     0.318  41.896   1.000    0.000  119.088
2200   5.900   0.000     0.314  42.078   1.000    0.000  119.088
2205   5.900   1.600     0.311  42.259   1.000    0.000  119.880
2210   5.800   0.000     0.311  42.441   1.000    0.000  119.664
2215   5.500   0.000     0.309  42.622   1.000    0.000  135.576
2220   5.400   0.000     0.308  42.804   1.000    0.000  122.616
2225   5.500   1.600     0.306  42.985   1.000    0.000  123.624
2230   5.600   1.600     0.308  43.167   1.000    0.000  123.624
2235   5.400   1.600     0.309  43.348   1.000    0.000  123.192
2240   5.400   0.000     0.311  43.530   1.000    0.000  122.616
2245   5.400   0.000     0.312  43.711   1.000    0.000  122.832
2250   5.500   3.200     0.315  43.893   1.000    0.000  129.024
2255   5.500   1.600     0.318  44.074   1.000    0.000  120.888
2300   5.400   0.000     0.320  44.255   1.000    0.000  120.888
2305   5.500   0.000     0.323  44.437   1.000    0.000  138.888
2310   5.400   0.000     0.326  44.619   1.000    0.000  138.456
2315   5.400   3.200     0.329  44.800   1.000    0.000  139.752
2320   5.300   0.000     0.333  44.981   1.000    0.000  139.968
2325   5.200   1.600     0.336  45.163   1.000    0.000  138.960
2330   5.300   0.000     0.338  45.345   1.000    0.000  141.696
2335   5.200   1.600     0.341  45.526   1.000    0.000  121.608
2340   5.200   0.000     0.344  45.707   1.000    0.000  126.000
2345   5.000   0.000     0.347  45.889   1.000    0.000  146.880
2350   5.100   0.000     0.353  46.071   1.000    0.000  146.016
2355   5.000   0.000     0.359  46.252   1.000    0.000  146.880
0000   5.100   0.000     0.366  46.433   1.000    0.000  155.448
0004   5.100   1.600     0.374  46.579   1.000    0.000  149.616
0009   5.300   0.000     0.381  46.760   1.000    0.000  158.472
0014   5.200   0.000     0.392  46.941   1.000    0.000  154.512
0019   5.300   0.000     0.401  47.123   1.000    0.000  176.760
0024   5.700   0.000     0.413  47.305   1.000    0.000  166.968
0029   6.300   0.000     0.423  47.486   1.000    0.000  172.584
0034   6.400   3.200     0.435  47.667   1.000    0.000  175.752
0039   6.600   0.000     0.446  47.849   1.000    0.000  180.648
0044   6.600   0.000     0.458  48.031   1.000    0.000  176.976
0049   6.700   0.000     0.468  48.212   1.000    0.000  184.248
0054   6.600   0.000     0.480  48.393   1.000    0.000  180.144
0059   6.800   0.000     0.492  48.575   0.000    0.000  183.600
0104   6.500   0.000     0.504  48.756   0.000    0.000  177.192
0109   6.500   0.000     0.513  48.938   0.000    0.000  170.208
0114   6.200   1.600     0.525  49.119   0.000    0.000  187.488
0119   6.600   1.600     0.537  49.301   0.000    0.000  191.664
0124   6.500   0.000     0.551  49.482   0.000    0.000  225.792
0129   6.400   0.000     0.567  49.664   0.000    0.000  214.848
0134   5.900   0.000     0.582  49.845   0.000    0.000  187.704
0139   6.600   0.000     0.599  50.027   0.000    0.000  188.208
0144   6.600   0.000     0.617  50.208   0.000    0.000  182.808
0149   6.600   0.000     0.636  50.390   0.000    0.000  182.880
0154   6.800   0.000     0.654  50.571   0.000    0.000  190.080
0159   6.800   0.000     0.674  50.753   0.000    0.000  206.424
0204   6.900   0.000     0.695  50.934   0.000    0.000  187.200
0209   6.800   0.000     0.714  51.115   0.000    0.000  206.784
0214   6.800   3.200     0.732  51.297   0.000    0.000  195.336
0219   6.600   0.000     0.747  51.479   0.000    0.000  193.248
0224   6.200   0.000     0.764  51.660   0.000    0.000  193.896
0229   5.800   0.000     0.780  51.841   0.000    0.000  159.768
0234   5.300   1.600     0.794  52.023   0.000    0.000  167.760
0239   5.300   0.000     0.806  52.205   0.000    0.000  178.128
0244   5.200   1.600     0.815  52.386   0.000    0.000  168.768
0249   5.300   0.000     0.825  52.567   0.000    0.000  173.160
0254   5.600   3.200     0.836  52.749   0.000    0.000  165.024
0259   5.800   0.000     0.846  52.931   0.000    0.000  175.752
0304   5.900   0.000     0.857  53.112   0.000    0.000  188.640
0309   5.300   0.000     0.867  53.293   0.000    0.000  201.168
0314   5.300   0.000     0.875  53.475   0.000    0.000  179.136
0319   5.300   0.000     0.881  53.656   0.000    0.000  179.784
0324   5.000   3.200     0.885  53.838   0.000    0.000  162.072
0329   5.300   0.000     0.891  54.019   0.000    0.000  175.248
0334   5.300   0.000     0.900  54.201   0.000    0.000  187.272
0339   5.200   0.000     0.908  54.382   0.000    0.000  169.632
0344   5.300   0.000     0.914  54.564   0.000    0.000  191.304
0349   5.900   0.000     0.918  54.745   0.000    0.000  193.392
0354   5.900   0.000     0.923  54.927   0.000    0.000  194.688
0359   6.100   0.000     0.927  55.108   0.000    0.000  207.648
0404   5.800   0.000     0.933  55.290   0.000    0.000  191.880
0409   5.200   1.600     0.938  55.471   0.000    0.000  182.304
0414   4.600   0.000     0.944  55.653   0.000    0.000  192.168
0419   4.600   0.000     0.950  55.834   0.000    0.000  194.040
0424   4.400   0.000     0.954  56.015   0.000    0.000  180.144
0429   4.300   0.000     0.956  56.197   0.000    0.000  181.728
0434   4.200   0.000     0.960  56.379   0.000    0.000  170.928
0439   4.100   3.200     0.962  56.560   0.000    0.000  190.728
0444   4.100   0.000     0.963  56.741   0.000    0.000  191.016
0449   4.400   0.000     0.960  56.923   0.000    0.000  189.360
0454   4.300   0.000     0.957  57.105   0.000    0.000  183.384
0459   3.700   0.000     0.951  57.286   0.000    0.000  187.560
0504   3.700   0.000     0.947  57.467   0.000    0.000  183.816
0509   4.000   0.000     0.941  57.649   0.000    0.000  184.464
0514   4.400   0.000     0.935  57.831   0.000    0.000  179.352
0519   4.300   0.000     0.927  58.012   0.000    0.000  190.800
0524   3.800   0.000     0.918  58.193   0.000    0.000  179.856
0529   3.900   0.000     0.911  58.375   0.000    0.000  180.576
0534   4.100   0.000     0.905  58.556   0.000    0.000  169.632
