AbsTime(h),Date,Hour,Solar_W_m2,TestGroup_0,TestGroup_1
0.00,2024/1/1,0.00,0.00,726.85,726.85
0.00,2024/1/1,0.00,0.00,651.02,651.02
0.00,2024/1/1,0.00,0.00,597.14,597.14
0.00,2024/1/1,0.00,0.00,557.06,557.06
0.00,2024/1/1,0.00,0.00,526.13,526.13
0.00,2024/1/1,0.00,0.00,501.49,501.49
0.00,2024/1/1,0.00,0.00,481.31,481.31
0.00,2024/1/1,0.00,0.00,464.36,464.36
0.00,2024/1/1,0.00,0.00,449.79,449.79
0.00,2024/1/1,0.00,0.00,437.02,437.02
0.00,2024/1/1,0.00,0.00,425.64,425.64
0.00,2024/1/1,0.00,0.00,415.33,415.33
0.00,2024/1/1,0.00,0.00,405.87,405.87
0.00,2024/1/1,0.00,0.00,397.10,397.10
0.00,2024/1/1,0.00,0.00,388.89,388.89
0.00,2024/1/1,0.00,0.00,381.15,381.15
0.00,2024/1/1,0.00,0.00,373.81,373.81
0.00,2024/1/1,0.00,0.00,366.81,366.81
0.01,2024/1/1,0.01,0.00,360.12,360.12
0.01,2024/1/1,0.01,0.00,353.69,353.69
0.01,2024/1/1,0.01,0.00,347.49,347.49
0.01,2024/1/1,0.01,0.00,341.51,341.51
0.01,2024/1/1,0.01,0.00,335.73,335.73
0.01,2024/1/1,0.01,0.00,330.14,330.14
0.01,2024/1/1,0.01,0.00,324.71,324.71
0.01,2024/1/1,0.01,0.00,319.44,319.44
0.01,2024/1/1,0.01,0.00,314.32,314.32
0.01,2024/1/1,0.01,0.00,309.34,309.34
0.01,2024/1/1,0.01,0.00,304.50,304.50
0.01,2024/1/1,0.01,0.00,299.79,299.79
0.01,2024/1/1,0.01,0.00,295.20,295.20
0.01,2024/1/1,0.01,0.00,290.72,290.72
0.01,2024/1/1,0.01,0.00,286.36,286.36
0.01,2024/1/1,0.01,0.00,282.10,282.10
0.01,2024/1/1,0.01,0.00,277.95,277.95
0.01,2024/1/1,0.01,0.00,273.90,273.90
0.01,2024/1/1,0.01,0.00,269.94,269.94
0.01,2024/1/1,0.01,0.00,266.08,266.08
0.01,2024/1/1,0.01,0.00,262.30,262.30
0.01,2024/1/1,0.01,0.00,258.61,258.61
0.01,2024/1/1,0.01,0.00,255.00,255.00
0.01,2024/1/1,0.01,0.00,251.47,251.47
0.01,2024/1/1,0.01,0.00,248.02,248.02
0.01,2024/1/1,0.01,0.00,244.65,244.65
0.01,2024/1/1,0.01,0.00,241.34,241.34
0.01,2024/1/1,0.01,0.00,238.11,238.11
0.01,2024/1/1,0.01,0.00,234.94,234.94
0.01,2024/1/1,0.01,0.00,231.84,231.84
0.01,2024/1/1,0.01,0.00,228.81,228.81
0.01,2024/1/1,0.01,0.00,225.83,225.83
0.01,2024/1/1,0.01,0.00,222.91,222.91
0.01,2024/1/1,0.01,0.00,220.06,220.06
0.01,2024/1/1,0.01,0.00,217.25,217.25
0.01,2024/1/1,0.01,0.00,214.51,214.51
0.02,2024/1/1,0.02,0.00,211.81,211.81
0.02,2024/1/1,0.02,0.00,209.16,209.16
0.02,2024/1/1,0.02,0.00,206.57,206.57
0.02,2024/1/1,0.02,0.00,204.02,204.02
0.02,2024/1/1,0.02,0.00,201.52,201.52
0.02,2024/1/1,0.02,0.00,199.07,199.07
0.02,2024/1/1,0.02,0.00,196.66,196.66
0.02,2024/1/1,0.02,0.00,194.29,194.29
0.02,2024/1/1,0.02,0.00,191.96,191.96
0.02,2024/1/1,0.02,0.00,189.67,189.67
0.02,2024/1/1,0.02,0.00,187.43,187.43
0.02,2024/1/1,0.02,0.00,185.22,185.22
0.02,2024/1/1,0.02,0.00,183.05,183.05
0.02,2024/1/1,0.02,0.00,180.91,180.91
0.02,2024/1/1,0.02,0.00,178.81,178.81
0.02,2024/1/1,0.02,0.00,176.75,176.75
0.02,2024/1/1,0.02,0.00,174.72,174.72
0.02,2024/1/1,0.02,0.00,172.72,172.72
0.02,2024/1/1,0.02,0.00,170.75,170.75
0.02,2024/1/1,0.02,0.00,168.81,168.81
0.02,2024/1/1,0.02,0.00,166.91,166.91
0.02,2024/1/1,0.02,0.00,165.03,165.03
0.02,2024/1/1,0.02,0.00,163.18,163.18
0.02,2024/1/1,0.02,0.00,161.36,161.36
0.02,2024/1/1,0.02,0.00,159.57,159.57
0.02,2024/1/1,0.02,0.00,157.80,157.80
0.02,2024/1/1,0.02,0.00,156.06,156.06
0.02,2024/1/1,0.02,0.00,154.35,154.35
0.02,2024/1/1,0.02,0.00,152.66,152.66
0.02,2024/1/1,0.02,0.00,150.99,150.99
0.02,2024/1/1,0.02,0.00,149.35,149.35
