g Hull
f 24.21312442996244
f 29.54730189326903
f 29.77080350872642
f 30.76539560935500
f 30.03359641397823
f 28.16439189797074
f 30.09338111257907
f 30.82739282517144
f 30.59449840449805
f 31.78429603011507
f 31.13614277506140
f 31.91580623161792
f 31.56370911271192
f 31.80496655150270
f 30.80168274930521
f 29.13215343055385
f 30.54070024009475
f 21.16577762222700
f 20.69152844735069
f 20.85444560788115
f 31.42324037489336
f 20.72987527864278
f 20.79101299123978
f 20.56035518679632
f 22.15572411007691
f 20.68620906259950
f 20.32097785478392
f 29.60887327778570
f 20.73396985615197
f 20.46375136805006
f 20.72346694606037
f 29.66644416222945
f 20.81781440368568
f 28.56436255178786
f 22.97692376514778
f 20.95795643661163
f 29.74910319809439
f 21.28459810663515
f 22.83163342677571
f 30.89946442813711
f 30.22729408496764
f 21.91299583647616
f 22.23100818992644
f 22.52522016318730
f 28.63897608655843
f 30.24246944269282
f 21.51862196071519
f 29.77968988619812
f 20.85402974243313
f 29.62348786006219
f 21.10259312412259
f 21.19921383073683
f 21.47003333612102
f 30.33662334316171
f 30.57459582714096
f 30.10064050275352
f 22.65162268609587
f 30.58943081796949
f 22.60861379094955
f 30.79257676970461
f 22.76185268951030
f 23.47822484110488
f 30.72085175010054
f 26.32958648920873
f 27.15620817842043
f 30.53810551290483
f 28.39275249726194
f 29.76925569488931
f 29.24371916606113
f 29.28618634052671
f 29.33570564821302
f 29.08763447404457
f 29.65554065109969
f 28.53338206735117
f 30.04817710351741
f 29.77586609732236
f 29.86477447976789
f 30.15211286664563
f 31.86694277865256
f 31.09212185541472
f 29.62401081003265
f 28.79629364185133
f 28.81652276197847
f 28.40500769594229
f 28.43896226132986
f 23.05444025173844
f 28.32325458772564
f 28.16629669685725
f 30.02149909073134
f 29.79073088249641
f 28.22546549721876
f 23.42477710325750
f 22.97070243981200
f 28.25722537634278
f 28.35032016010731
f 25.66039631081703
f 23.96172064557040
f 22.21061512861497
f 31.67211199862880
f 24.32276949873665
f 28.62276066625521
f 28.38640136681230
f 30.22428324039501
f 23.73770039577217
f 28.81245452855142
f 28.36238896332092
f 28.41304427241612
f 29.99254271242535
f 28.23014972170533
f 22.80538374995691
f 30.87023457793932
f 28.83688272536732
f 28.62725939876631
f 28.38360448595057
f 27.23329922393980
f 30.89994301576785
f 27.01282915669128
f 29.32841885933849
f 24.63053701527732
f 23.28790550801433
f 31.35096949376144
f 24.45790681784804
f 27.25110546626759
f 25.88828938078935
f 21.10269020748188
f 31.23079943427511
f 30.30589438917222
f 24.76287225503195
f 24.66066091327658
f 24.77610548151801
f 27.84820007336899
f 28.09309258896731
f 30.41304178556735
f 24.87238654242988
f 29.55752109753272
f 30.18923032146202
f 22.80852876776899
f 29.32591929902057
f 25.54612315170822
f 24.81900734297482
f 29.00325414131463
f 30.51560966948687
f 24.88842765917865
f 30.38458914966314
f 24.16118586708293
f 29.54116612798758
f 23.83255873961465
f 29.55907616626508
f 24.11086881386899
f 29.63356622397550
f 24.69742717427826
f 29.68883655155443
f 30.52941415231858
f 27.97341713927411
f 29.69753180377104
f 30.61514235304677
f 27.99606948200654
f 30.22171639661349
f 30.80996582313368
f 28.44722256168425
f 31.48088751288874
f 32.57039891315242
f 31.72225124668940
f 31.37050234067319
f 31.14247936334900
f 27.94166357918123
f 30.03058324904050
f 30.73613271707411
f 30.14966530609833
f 28.88903272934477
f 27.94280319599764
f 27.07420767361314
f 23.45385301876220
f 27.24169007904166
f 27.75083829694006
f 26.81530483779557
f 23.63061440365471
f 23.76180149608791
f 27.22877836281033
f 26.92122082651479
f 26.59683072129316
f 26.78726239018487
f 25.98623890003778
f 27.52508135780265
f 27.07434169220520
f 22.37320874337795
f 23.74665914474869
f 30.40061797300923
f 21.79935978032112
f 30.70482422546042
f 21.36563253572378
f 21.30259952711334
f 28.34762484865999
f 20.66111085678871
f 21.32397256833928
f 21.14523137107465
f 24.96226993642636
f 25.15902248423101
f 21.19589463995835
f 24.45622620917821
f 24.75938716740258
f 23.88622478631387
f 31.24105038201832
f 21.25502830017631
f 23.98332312989081
f 23.33914167478603
f 23.22372617737179
f 23.00984763405086
f 21.05630480735190
f 21.03694053463352
f 21.12201982200519
f 27.91905041128168
f 27.38671414383396
f 26.52992604886473
f 27.49623494439653
f 26.47286665467160
f 25.70603184181940
f 21.22264676557526
f 21.27334541202616
f 23.42257400248178
f 23.38868095901030
f 23.97571873487222
f 23.14498291627165
f 22.86251341096177
f 22.49597914471017
f 21.35231584774647
f 21.39138808792383
f 25.79886973574397
f 25.92326966507612
f 24.91876745983254
f 25.04681556658963
f 22.41973632545079
f 25.20434427607940
f 25.89678072432143
f 22.87437505142483
f 25.86019988943711
f 23.48460959499744
f 22.65934608945938
f 21.80081131632092
f 21.29857969596315
f 21.42108350345680
f 22.96862552703363
f 21.70374781689522
f 22.78564061496862
f 26.42313674914697
f 26.79849990066656
f 27.99678562747344
f 25.23927502451757
f 23.20745641708087
f 26.79849087030924
f 21.54740685004144
f 22.88217060856794
f 22.05893463571769
f 21.74146836052211
f 22.33990322438742
f 22.67893031072770
f 21.91693338638908
f 22.61628749160517
f 22.59953414747901
f 22.92666490702621
f 23.42158791548755
f 22.81961435818298
f 23.85323596244535
f 23.14019591765694
f 24.11034232979029
f 23.92654729836379
f 24.11062264725183
f 28.66429426640561
f 27.38777966452691
f 27.19450596034603
f 25.88337321769864
f 22.26681859980789
f 23.08246387050083
f 27.30924268598339
f 22.47419058209460
f 22.84096354473293
f 23.37894334827293
f 24.91138422547241
f 22.54775419676655
f 22.89257298945766
f 22.39822270563246
f 22.15463862029604
f 23.74859262485544
f 23.03749227134961
f 22.27311640437789
f 23.59131784301621
f 22.45016849795490
f 21.97652747645279
f 21.94863602776563
f 21.92086051786488
f 21.58971755112811
f 26.90322042348658
f 27.35946900059866
f 27.74165570381995
f 27.87335389872784
f 29.47489582297938
f 22.30180367425374
f 23.44704590873959
f 22.26951159257984
f 22.10092773709743
f 21.99550584590623
f 21.67822825104627
f 21.50903821318566
f 27.77230645395288
f 27.32071392589426
f 26.79354451006262
f 28.00509607591660
f 28.26394217408087
f 29.88080433381696
f 27.65212947887609
f 28.16159967223190
f 27.70505782713204
f 22.00982698926484
f 21.77683252074630
f 22.05108037162589
f 21.80057303816071
f 21.78167375494487
f 21.21273486282566
f 29.15769843174594
f 28.55399131277494
f 28.96770011710167
f 25.94632193746888
f 22.09269903038950
f 21.78277107971325
f 21.70484280315740
f 21.41656336269427
f 21.48073912879466
f 21.18585010152356
f 29.92252483214063
f 29.31768220406599
f 29.66872013116883
f 28.69148430308663
f 28.31668377985717
f 27.69968276901551
f 22.92471908666155
f 21.75199549102815
f 21.29933403762354
f 21.23630682229780
f 21.46952561448949
f 21.30312223435704
f 29.96395282498920
f 31.09707429529786
f 30.14742310409850
f 29.43444358363244
f 28.93516203612952
f 28.68788891424720
f 22.30770747080394
f 21.38178402178879
f 21.32399990801835
f 20.98038031193266
f 21.23023884533759
f 21.01458979207223
f 29.94902726247135
f 29.71566149238192
f 29.36952453068999
f 30.20788578386104
f 29.96925416578820
f 29.82806263331460
f 29.82863712164205
f 29.73030437348194
f 29.38726338174610
f 26.99601119845192
f 22.05552075833428
f 21.77153231874402
f 21.81815908959562
f 21.07728585553801
f 21.22689387194556
f 21.64038650537795
f 25.52354471010942
f 25.07997365859888
f 30.17322164699714
f 29.97477795532377
f 30.20709580578676
f 24.81393743816157
f 24.58490145396504
f 22.78304630168697
f 22.43379500359880
f 22.37760359180386
f 21.68061579724845
f 21.93139810035301
f 22.60886550660173
f 24.44089508358257
f 24.30617137959752
f 30.53153013730225
f 30.48159320512650
f 30.89108981210959
f 30.00238856020572
f 29.68506757313990
f 29.46099729803194
f 23.25176511299774
f 22.73594505355182
f 23.10373559057694
f 31.63713199308042
f 31.36096308545676
f 31.51698973356438
f 31.07054324997011
f 30.40624672112066
f 30.10704632607255
f 31.91818727423653
f 31.78551364745181
f 31.53598093398791
f 31.35954993095753
f 31.47473728899530
f 23.18852563245403
f 23.14186649764774
f 23.30229501722264
f 23.27286244938706
f 22.63790293046086
f 22.58583856807066
f 23.36107967436833
f 23.32826685029660
f 22.66992132712510
f 31.18591476580342
f 22.63944232398687
f 23.06072175362936
f 31.42372188463512
f 32.04775795251981
f 31.41169307592870
f 31.06658140098227
f 32.12512536755717
f 22.99166965995115
f 21.80993308331318
f 21.79463423770321
f 22.53091804290397
f 22.48578817400759
f 21.68599393502857
f 24.40039673109186
f 24.80896552211861
f 28.27410682728739
f 31.38172875449642
f 31.84366993920972
f 31.80865278013751
f 30.70170858943169
f 30.29031450903220
f 31.08948292654008
f 22.38600264432351
f 21.95327933579791
f 21.39100221042256
f 21.39761690005298
f 21.28046863204257
f 21.25670900133225
f 29.49370586429187
f 29.84586088233721
f 31.04949534330532
f 30.87264689931629
f 29.97782826568698
f 29.48355671133005
f 30.77693099896380
f 31.70017476419892
f 22.83611256049322
f 21.68257552004375
f 21.35037736552928
f 20.85328488053805
f 21.06113579420878
f 20.93938558770175
f 27.78239244394733
f 26.34650918437938
f 24.67678078549152
f 29.17738145712390
f 29.78334988705294
f 29.36905002614716
f 29.83002527753517
f 29.51580566351933
f 29.36677268364853
f 22.84243181142599
f 21.54112387188798
f 21.14687099463011
f 20.91327935879526
f 21.12874114299190
f 21.02781914734415
f 22.51677153193932
f 27.44820469536849
f 27.82518867604812
f 30.42585432563744
f 27.88013575504675
f 29.25841172026986
f 29.19749622727818
f 28.97518019806992
f 29.38837538855504
f 29.23390107103460
f 30.40126884251992
f 24.80478946765427
f 24.71619714555463
f 22.52606423633107
f 21.36645350451971
f 21.03293846048911
f 20.70158877939224
f 21.05508407811320
f 20.79371839087178
f 28.91942247663345
f 29.19639667283792
f 28.70862778699550
f 28.70513680385644
f 28.92718127936079
f 28.51198964308907
f 29.68465225566669
f 29.25170042086962
f 29.14115596682619
f 26.42384206359624
f 22.12807311488184
f 21.41096944218697
f 21.04509714063293
f 20.55807541073908
f 20.94024262845964
f 20.82753286851766
f 25.03825149471831
f 25.15716591066626
f 29.18599187042933
f 29.03900131257726
f 30.30343985358426
f 21.96811831113382
f 21.38527775678554
f 20.92393108126272
f 20.50052039504865
f 20.80124331625936
f 20.63415589155954
f 24.53231283042734
f 28.79500380630860
f 28.71161445989695
f 28.53055702633567
f 29.23547692551173
f 28.95879211715391
f 30.44210565627789
f 22.03851627566462
f 21.46017160749355
f 21.13723791080260
f 20.82740237598941
f 20.93399977259257
f 20.49876600837709
f 28.65461113494544
f 28.67078099376875
f 28.37604630085563
f 28.82148149452759
f 28.94332960632630
f 30.32046452046364
f 22.57175404072552
f 21.84916074231878
f 21.06086378340036
f 20.87862435800221
f 20.82505098783971
f 20.51514377798607
f 28.37020822471706
f 28.50087938301252
f 28.42468959069531
f 29.16517201561321
f 28.80592852837246
f 30.30687182133106
f 22.71784736862967
f 21.49845540615783
f 21.32451733714773
f 21.03662152005128
f 21.06217474449186
f 20.67526012834296
f 28.34857428098883
f 28.49897835497348
f 28.72109135708284
f 29.47506641957494
f 29.06691511092049
f 29.15567123049050
f 28.10817402861753
f 28.55847274016461
f 28.71916606754797
f 22.59767875374443
f 21.68824795969901
f 21.37234342041573
f 21.01562351465080
f 21.17755744984348
f 20.50881301907975
f 29.38762394773936
f 29.14418475132595
f 28.95121888959965
f 22.60163795536632
f 21.70984632652613
f 21.38903369889599
f 26.88616629734030
f 28.29346298801471
f 28.63519478816069
f 28.62550729213103
f 28.36480219679504
f 29.06357834282980
f 28.68829809621467
f 29.03063529051446
f 30.40074490198291
f 29.32078754400619
f 20.98006152425237
f 21.04262666740187
f 20.82193123153903
f 22.58423805097903
f 21.76726854429639
f 21.56695100932681
f 21.05899857366645
f 21.31449725052612
f 20.85136268328455
f 26.98478527032854
f 26.72195780179310
f 28.40710979584382
f 28.76371454993164
f 28.51734095214483
f 29.03262880910462
f 28.99466819666391
f 30.25755823803878
f 22.78299771177943
f 21.97782237842542
f 21.66615875511459
f 21.04172993071415
f 21.32751122729672
f 21.05008617289429
f 29.32540909924881
f 29.03258638774699
f 29.10748007304680
f 22.92676816113747
f 22.34906957301557
f 22.03829152199641
f 21.45174661888468
f 26.37118673436980
f 26.47090420034661
f 26.36339543670738
f 25.65734426001900
f 25.59196335455367
f 31.22918697878967
f 31.69381257963921
f 31.41559606625566
f 28.98257763579711
f 29.58378996477168
f 30.39335400932635
f 28.29864214959583
f 28.84916365971804
f 29.08075984914253
f 29.01534902270108
f 29.33037525986479
f 29.01133758395448
f 22.16125322403349
f 31.11238842841995
f 22.09307464860539
f 30.37440801473026
f 30.93852523495269
f 30.26184929877055
f 30.15413104271395
f 30.27490522623535
f 31.07391181488763
f 30.87448291250465
f 32.33939040947904
f 30.03663350409183
f 30.91938030807237
f 32.09536965330599
f 30.14250396932345
f 30.57063887669952
f 29.58002783303883
f 21.36876304352915
f 21.50490484223738
f 21.92051366462970
f 21.92690261371835
f 21.66078917129247
f 22.01130844351529
f 22.77351973417426
f 22.44915291869714
f 22.03097536224746
f 32.14343938152665
f 30.92013684503501
f 31.00718943703227
f 30.52830030461882
f 31.55877306937362
f 31.73046947035592
f 32.23436025878807
f 33.43445524704337
f 31.54304593866249
f 30.51863575684598
f 31.34838845837315
f 31.49692184645463
f 32.23984464292879
f 32.29284192600901
f 22.75097025812225
f 31.55238149326263
f 25.01488482373050
f 31.88073088801382
f 21.96491963603373
f 22.43995847930733
f 23.05897954852517
f 30.82629132865627
f 30.29771029222534
f 29.96801359561301
f 30.33421326835424
f 30.97647795996256
f 29.78580042149546
f 31.07069282529040
f 28.65705491921917
f 27.91514584328654
f 31.24785363410307
f 28.07428953385387
f 28.71830919697285
f 28.07201249228098
f 27.51352050787085
f 27.70128364537518
f 27.82856233600102
f 27.95044001328132
f 27.26051983314485
f 30.50781772147225
f 30.57691730902466
f 31.06678536477282
f 25.39607717365461
f 28.65952406484576
f 29.07750857711827
f 28.57200721209475
f 29.20081601800412
f 28.67935107991689
f 26.47548014632320
f 31.07916382093140
f 25.03820150663635
f 25.27469975120459
f 25.29012931378531
f 29.94368829347948
f 24.66142905710536
f 24.67868848288052
f 23.92388022783704
f 24.18111859230438
f 26.91822133973129
f 27.49185352992462
f 30.11662867195556
f 27.29087139031860
f 30.63632861648982
f 27.29450403330217
f 29.63668251450421
f 29.37728829575660
f 30.50076826188180
f 29.79356045984857
f 29.66096952951288
f 29.32163915682549
f 28.84915305728800
f 22.29524014970228
f 21.59327666216314
f 21.48925996298695
f 29.75621283498416
f 29.43923918994980
f 25.89242172984461
f 26.34095457821785
f 29.76278283828502
f 30.90563643226477
f 28.52811633260161
f 29.23862565407485
f 29.06606094778691
f 30.88041696954872
f 29.90766929940967
f 29.40224295056973
f 29.45147494633585
f 30.37630456174219
f 28.57750531637451
f 28.06438358470750
f 27.69519696060822
f 30.26438160344154
f 29.06675684303866
f 28.65919784040549
f 30.31846098586810
f 30.21017873675515
f 25.75559299601572
f 25.41303576754411
f 24.96258108167853
f 24.74317024296113
f 30.44490770860791
f 29.41642693488901
f 25.14513655427479
f 24.48565860087490
f 24.78958472766960
f 24.12496439572540
f 24.16788287418687
f 24.49960905911165
f 21.32323079595969
f 23.92667420097086
f 23.81885350852811
f 29.32190532139653
f 29.32163070162887
f 21.20646388389133
f 27.16890838299016
f 27.15484668617155
f 26.98261563538811
f 26.44751189248670
f 29.22606815237463
f 30.25106848009255
f 25.97685491618077
f 26.14081353732359
f 29.29034034723848
f 26.52442312095628
f 27.02571532967754
f 32.54253445369191
f 27.99270829372339
f 27.66278370889158
f 27.19792043958419
f 26.37661616332078
f 26.82482507650199
f 26.70093093729380
f 29.09619051159053
f 28.66517950224111
f 32.29311385315798
f 25.30153256513920
f 25.67846436436727
f 25.93396454706450
f 32.03329603222187
f 27.46496493720868
f 32.16490782876404
f 29.51109802762399
f 30.16751910520765
f 31.37794759657839
f 27.56304536336347
f 27.91341310422361
f 27.07196543180551
f 31.22321800560555
f 29.70661471598884
f 30.37158554628937
f 23.82406064782704
f 23.89724283003396
f 29.72834068218411
f 31.72869710138115
f 31.37164884552675
