AbsTime(h),Date,Hour,Temp_Front,Temp_Back,Solar_W_m2
6.00,1984/7/19,6.00,9.44,9.44,1.60,-3.32
6.33,1984/7/19,6.33,10.50,10.50,4.00
6.67,1984/7/19,6.67,11.35,11.35,24.00
7.00,1984/7/19,7.00,12.90,12.89,94.00
7.33,1984/7/19,7.33,12.46,12.46,16.00
7.67,1984/7/19,7.67,12.21,12.21,10.00
8.00,1984/7/19,8.00,16.03,16.01,282.00
8.33,1984/7/19,8.33,18.48,18.46,308.00
8.67,1984/7/19,8.67,20.34,20.32,354.00
9.00,1984/7/19,9.00,21.74,21.72,400.00
9.33,1984/7/19,9.33,22.65,22.63,440.00
9.67,1984/7/19,9.67,23.66,23.64,510.00
10.00,1984/7/19,10.00,24.24,24.22,554.00
10.33,1984/7/19,10.33,24.54,24.52,600.00
10.67,1984/7/19,10.67,24.59,24.57,644.00
11.00,1984/7/19,11.00,24.30,24.28,690.00
11.33,1984/7/19,11.33,23.95,23.93,722.00
11.67,1984/7/19,11.67,23.25,23.23,762.00
12.00,1984/7/19,12.00,22.23,22.22,790.00
12.33,1984/7/19,12.33,20.88,20.87,820.00
12.67,1984/7/19,12.67,19.47,19.46,840.00
13.00,1984/7/19,13.00,17.38,17.38,850.00
13.33,1984/7/19,13.33,16.14,16.13,872.00
13.67,1984/7/19,13.67,15.63,15.63,880.00
14.00,1984/7/19,14.00,15.44,15.44,880.00
14.33,1984/7/19,14.33,15.39,15.39,880.00
14.67,1984/7/19,14.67,15.56,15.55,860.00
15.00,1984/7/19,15.00,15.54,15.53,850.00
15.33,1984/7/19,15.33,15.55,15.54,832.00
15.67,1984/7/19,15.67,15.60,15.60,808.00
16.00,1984/7/19,16.00,15.80,15.79,780.00
