04
TIME     AIRT    SOLAR     WIND    HUMID    CLOUD     LWIR   WINDIR
0554   12.200    4.000    1.369   84.689    0.000    0.000  163.656
0559   12.300    2.000    1.383   84.948    0.000    0.000  164.016
0604   12.300    0.000    1.398   85.207    0.000    0.000  165.384
0609   12.300   10.000    1.410   85.467    0.000    0.000  166.392
0610   18.800    0.000    1.418   78.833    5.000    0.000  155.808
0615   18.900    2.000    1.427   78.250    6.000    0.000  150.912
0620   18.700    4.000    1.446   77.667    6.000    0.000  151.920
0625   18.600    6.000    1.464   77.083    6.000    0.000  180.216
0630   18.700   10.000    1.482   76.500    7.000    0.000  169.704
0635   18.400   20.000    1.497   75.917    7.000    0.000  162.720
0640   18.400   24.000    1.507   75.333    7.000    0.000  171.936
0645   18.400   34.000    1.516   74.750    8.000    0.000  159.408
0650   18.500   50.000    1.522   74.167    8.000    0.000  149.184
0655   19.700  116.000    1.526   73.583    8.000    0.000  137.088
0700   18.800   94.000    1.531   73.000    7.000    0.000  163.512
0705   18.500   34.000    1.535   72.583    7.000    0.000  182.232
0710   18.400   26.000    1.541   72.167    7.000    0.000  147.456
0715   18.000   14.000    1.549   71.750    6.000    0.000  161.280
0720   17.800   16.000    1.559   71.333    6.000    0.000  142.056
0725   17.800   14.000    1.572   70.917    6.000    0.000  170.928
0730   17.900   12.000    1.584   70.500    5.000    0.000  157.248
0735   17.800   10.000    1.599   70.083    5.000    0.000  214.848
0740   18.000   10.000    1.614   69.667    4.000    0.000  148.464
0745   18.200   28.000    1.631   69.250    4.000    0.000  166.320
0750   18.500   70.000    1.648   68.833    4.000    0.000  152.496
0755   18.800  160.000    1.668   68.417    4.000    0.000  168.480
0800   19.500  282.000    1.690   68.000    4.000    0.000  156.528
0805   20.000  306.000    1.706   67.917    3.000    0.000  153.792
0810   19.700  260.000    1.721   67.833    3.000    0.000  144.432
0815   20.000  294.000    1.733   67.750    3.000    0.000  176.544
0820   19.900  308.000    1.742   67.667    3.000    0.000  172.368
0825   19.900  310.000    1.759   67.583    3.000    0.000  182.232
0830   19.800  292.000    1.772   67.500    3.000    0.000  147.528
0835   19.900  286.000    1.783   67.417    3.000    0.000  151.776
0840   20.200  354.000    1.792   67.333    2.000    0.000  237.168
0845   20.300  352.000    1.799   67.250    2.000    0.000  173.448
0850   20.100  368.000    1.799   67.167    2.000    0.000  159.480
0855   20.100  384.000    1.800   67.083    2.000    0.000  140.472
0900   20.300  400.000    1.803   67.000    2.000    0.000  148.464
0905   20.100  398.000    1.802   66.917    2.000    0.000  164.160
0910   20.100  414.000    1.799   66.833    2.000    0.000  160.416
0915   20.100  430.000    1.794   66.750    2.000    0.000  189.936
